@relation HTRU_test

@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}

@data
105.226563,48.480056,0.229398,0.178534,2.142977,17.107582,10.127762,118.118172,0
117.085938,49.630829,0.243279,0.115192,2.914716,20.994212,8.200522,71.283348,0
117.34375,51.607357,0.134288,-0.257639,1.398829,13.600326,13.021293,192.467831,0
115.484375,49.50994,0.011603,-0.502666,18.17893,54.876935,2.823589,6.407846,0
131.398438,52.802157,0.124412,-0.477598,61.095318,75.25658,0.660881,-1.1409,0
103.210938,42.216083,0.329758,1.017626,1.56689,12.209763,11.919392,188.152376,0
98.585938,39.574796,0.327505,1.236035,1.77592,17.81515,10.644953,117.05247,0
129,46.931632,0.120674,0.292885,61.940635,79.716328,0.621127,-1.408289,0
122,56.306916,0.192742,-0.6762,18.109532,54.37199,3.10732,8.375608,0
118.804688,50.890363,0.083254,-0.301184,1.563545,13.993434,12.577851,188.371439,0
101.023438,42.945544,0.534857,0.776789,2.198161,17.348003,10.190573,115.328488,0
107.070313,54.572656,0.593759,-0.06777,2.784281,24.75381,8.815343,76.065557,0
103.859375,38.873339,0.425418,0.962627,1.984114,13.953839,9.822261,123.792927,0
151.1875,51.74196,-0.272437,-0.444563,2.404682,16.038106,9.068029,100.354602,0
111.296875,46.493508,0.249577,0.609118,2.168896,14.56435,9.887005,120.792701,0
134.460938,45.524702,0.016495,0.510387,7.918896,34.739753,4.693244,21.768688,0
107.492188,49.80352,0.359887,0.133438,2.352843,20.076424,9.599411,97.263789,0
119.15625,53.641233,0.16251,-0.430095,1.989967,13.896893,10.166057,131.546117,0
132.578125,46.566419,-0.145056,0.168759,1.787625,14.944548,11.591534,153.110645,0
89.710938,34.152496,0.666422,3.359036,1.350334,14.47851,12.270075,163.637948,0
130.640625,51.872852,0.145932,0.177934,9.852843,35.871311,3.869401,14.883692,0
92.21875,34.822078,0.556838,2.702955,3.61204,22.308868,7.081994,54.776077,0
79.195313,37.475421,0.734882,2.4385,1.949833,14.927948,10.449729,128.636038,0
136.257813,40.216066,0.095322,0.38911,2.057692,17.406103,11.4136,140.787743,0
101.28125,35.261288,0.459517,2.185866,1.26505,11.648883,13.814081,238.720558,0
115.1875,55.547664,0.132286,-0.387322,4.358696,27.94017,6.836776,46.983334,0
136.921875,51.166641,0.02421,-0.194483,1.051839,10.444021,16.349926,335.660711,0
131.671875,50.229335,0.094618,-0.468585,0.552676,10.150279,20.151874,433.475244,0
96.859375,49.822769,0.276811,-0.331824,1.744147,14.764022,11.743961,160.619545,0
137.375,50.762775,0.085075,-0.092679,7.561037,33.47108,4.78251,23.379982,0
110.765625,55.342186,0.0661,-0.500415,14.379599,45.320742,3.120461,8.4636,0
119.007813,52.091041,0.215294,-0.020229,2.012542,18.754594,10.339768,111.760522,0
139.898438,44.281034,-0.044618,0.100841,1.139632,11.196096,15.156427,280.55359,0
89.453125,35.848827,0.731656,3.101474,1.450669,14.204964,11.203558,142.473878,0
126.554688,54.275888,0.207825,-0.191686,2.294314,17.42985,10.4691,122.767629,0
133.140625,43.706181,-0.012686,0.232394,2.091973,13.48937,9.821958,131.521033,0
111.765625,52.943585,0.671724,0.383594,149.843646,97.926948,-0.696153,-1.260403,0
118.296875,49.932824,0.144401,-0.269273,1.041806,10.199265,16.739483,355.416666,0
90.148438,40.786044,0.457139,0.885516,5.354515,29.759511,6.102231,37.97952,0
107.664063,44.462463,0.296046,0.227765,6.29097,33.512873,5.536014,30.245117,0
105.492188,43.500718,0.15418,0.408117,2.316054,19.098507,9.377229,95.200946,0
130.5,46.149553,0.084445,-0.107355,1.529264,11.757086,12.533831,211.327081,0
131,55.935789,-0.023598,-0.536651,1.159699,10.856794,15.019974,289.36279,0
84.421875,41.775555,0.757467,1.107075,1.33612,12.026757,14.502863,258.119819,0
106.875,47.571328,0.19944,0.284964,3.079431,20.984455,8.427475,78.259366,0
133.820313,43.478161,0.136691,0.353121,0.982441,9.486068,18.528395,444.411748,0
127.070313,47.663564,0.006552,-0.123634,0.853679,11.197206,16.122702,296.507738,0
121.375,53.245158,0.103772,-0.365119,1.095318,12.239976,16.258042,303.880023,0
98.726563,50.407823,0.565124,0.245231,0.570234,9.011285,22.018589,561.833787,0
126.625,55.721826,0.002946,-0.303218,0.534281,8.588882,23.913761,660.197035,0
143.671875,45.302647,-0.045769,0.353643,5.173913,26.462345,5.706651,33.802613,0
118.484375,50.608483,-0.029059,-0.027494,0.422241,8.086684,27.446113,830.63855,0
96,44.193113,0.388674,0.281344,1.871237,15.833746,9.634927,104.821623,0
136.429688,59.847421,-0.187846,-0.738123,1.296823,12.166062,15.45026,285.931022,0
122.554688,49.485605,0.127978,0.323061,16.409699,44.626893,2.945244,8.297092,0
119.335938,59.935939,0.159363,-0.743025,21.430602,58.872,2.499517,4.595173,0
114.507813,53.9024,0.201161,-0.024789,1.946488,13.381731,10.007967,134.23891,0
57.0625,85.79734,1.406391,0.08952,188.30602,64.712562,-1.597527,1.429475,0
